SaleDate,CustomerType,Area,Category,SaleAmount,SaleYear
01/11/15,Consumer,South,Materials,106.37,2015
01/11/15,Consumer,South,Materials,163.52,2015
01/11/15,Consumer,South,Materials,42.81,2015
01/11/15,Consumer,South,Materials,51.78,2015
01/12/15,Consumer,East,Tools,1018.31,2015
01/14/15,Contractor,East,Appliances,251.65,2015
01/14/15,Contractor,East,Appliances,126.64,2015
01/14/15,Contractor,East,Appliances,10.90,2015
01/14/15,Contractor,East,Appliances,107.33,2015
01/14/15,Contractor,East,Materials,465.30,2015
01/14/15,Contractor,East,Materials,10.78,2015
01/15/15,Consumer,West,Materials,72.11,2015
01/15/15,Contractor,South,Materials,10.05,2015
01/15/15,Consumer,West,Tools,77.62,2015
01/15/15,Consumer,West,Tools,474.15,2015
01/19/15,Contractor,East,Materials,7.01,2015
01/19/15,Consumer,South,Materials,89.06,2015
01/19/15,Home Builder,Mid-Town,Tools,272.58,2015
01/21/15,Consumer,Mid-Town,Tools,102.54,2015
01/21/15,Consumer,Mid-Town,Tools,199.37,2015
01/25/15,Home Builder,West,Materials,29.27,2015
01/25/15,Home Builder,West,Materials,15.06,2015
01/26/15,Home Builder,South,Materials,13.36,2015
01/28/15,Contractor,West,Materials,182.98,2015
01/29/15,Consumer,East,Appliances,432.08,2015
01/29/15,Consumer,East,Appliances,155.44,2015
01/29/15,Consumer,East,Tools,182.32,2015
01/29/15,Consumer,West,Tools,2831.96,2015
01/30/15,Consumer,South,Tools,4598.48,2015
02/01/15,Consumer,West,Appliances,2054.37,2015
02/01/15,Consumer,Mid-Town,Materials,14.88,2015
02/01/15,Consumer,West,Tools,236.45,2015
02/02/15,Consumer,Mid-Town,Materials,13.22,2015
02/02/15,Consumer,Mid-Town,Materials,33.29,2015
02/02/15,Consumer,Mid-Town,Tools,53.55,2015
02/05/15,Consumer,Mid-Town,Electrical,155.97,2015
02/05/15,Contractor,West,Materials,12.63,2015
02/05/15,Consumer,South,Materials,75.27,2015
02/05/15,Consumer,Mid-Town,Tools,28.97,2015
02/05/15,Contractor,West,Tools,137.18,2015
02/05/15,Contractor,East,Tools,93.61,2015
02/08/15,Consumer,Mid-Town,Appliances,119.27,2015
02/08/15,Contractor,West,Materials,5.36,2015
02/08/15,Consumer,East,Materials,5.92,2015
02/08/15,Consumer,Mid-Town,Materials,3.14,2015
02/08/15,Consumer,Mid-Town,Materials,717.70,2015
02/08/15,Contractor,South,Materials,146.83,2015
02/08/15,Contractor,South,Materials,29.97,2015
02/08/15,Consumer,East,Tools,1332.26,2015
02/08/15,Consumer,East,Tools,284.13,2015
02/09/15,Contractor,South,Materials,311.38,2015
02/09/15,Contractor,South,Materials,13.35,2015
02/10/15,Consumer,East,Appliances,108.31,2015
02/10/15,Consumer,Mid-Town,Materials,9.64,2015
02/10/15,Consumer,Mid-Town,Materials,6.10,2015
02/10/15,Consumer,Mid-Town,Materials,5.97,2015
02/11/15,Contractor,Mid-Town,Appliances,21.08,2015
02/11/15,Consumer,Mid-Town,Appliances,494.35,2015
02/11/15,Contractor,Mid-Town,Materials,41.70,2015
02/11/15,Contractor,Mid-Town,Tools,43.64,2015
02/11/15,Consumer,West,Tools,203.97,2015
02/12/15,Contractor,East,Materials,77.47,2015
02/16/15,Consumer,East,Appliances,324.21,2015
02/16/15,Consumer,East,Appliances,273.42,2015
02/16/15,Consumer,East,Landscaping,626.06,2015
02/16/15,Consumer,East,Materials,15.00,2015
02/16/15,Consumer,East,Materials,2.35,2015
02/16/15,Consumer,East,Materials,14.37,2015
02/16/15,Consumer,East,Materials,26.52,2015
02/17/15,Contractor,Mid-Town,Appliances,135.25,2015
02/17/15,Contractor,Mid-Town,Appliances,700.24,2015
02/17/15,Contractor,Mid-Town,Appliances,140.16,2015
02/17/15,Consumer,West,Materials,13.38,2015
02/17/15,Consumer,West,Materials,42.55,2015
02/17/15,Consumer,West,Materials,11.98,2015
02/17/15,Consumer,West,Materials,579.34,2015
02/17/15,Consumer,West,Materials,22.22,2015
02/18/15,Contractor,East,Materials,36.09,2015
02/18/15,Consumer,West,Materials,36.86,2015
02/18/15,Consumer,West,Materials,89.46,2015
02/20/15,Contractor,West,Materials,9.29,2015
02/20/15,Consumer,West,Materials,62.28,2015
02/20/15,Consumer,West,Tools,36.97,2015
02/22/15,Consumer,South,Appliances,30.22,2015
02/22/15,Consumer,East,Electrical,289.66,2015
02/23/15,Consumer,West,Materials,51.58,2015
02/23/15,Consumer,East,Materials,2643.66,2015
02/24/15,Home Builder,Mid-Town,Materials,83.33,2015
02/25/15,Home Builder,East,Materials,26.93,2015
02/25/15,Home Builder,East,Materials,11.13,2015
02/27/15,Consumer,East,Materials,3.39,2015
02/27/15,Consumer,East,Materials,22.93,2015
03/01/15,Contractor,East,Appliances,106.19,2015
03/01/15,Consumer,West,Appliances,539.04,2015
03/01/15,Contractor,East,Materials,4.63,2015
03/01/15,Contractor,East,Materials,16.55,2015
03/01/15,Contractor,East,Tools,494.16,2015
03/02/15,Consumer,South,Tools,163.18,2015
03/02/15,Consumer,South,Tools,409.18,2015
03/03/15,Contractor,West,Appliances,116.22,2015
03/03/15,Contractor,Mid-Town,Appliances,95.91,2015
03/03/15,Consumer,South,Materials,58.77,2015
03/03/15,Consumer,East,Materials,3.81,2015
03/03/15,Contractor,Mid-Town,Materials,57.54,2015
03/03/15,Contractor,West,Tools,184.96,2015
03/03/15,Contractor,Mid-Town,Tools,1313.96,2015
03/04/15,Home Builder,Mid-Town,Materials,10.21,2015
03/04/15,Home Builder,Mid-Town,Materials,102.11,2015
03/04/15,Consumer,West,Tools,795.41,2015
03/07/15,Consumer,Mid-Town,Appliances,123.94,2015
03/07/15,Contractor,East,Appliances,466.44,2015
03/07/15,Contractor,East,Appliances,110.57,2015
03/07/15,Consumer,Mid-Town,Landscaping,132.16,2015
03/07/15,Consumer,East,Materials,29.57,2015
03/07/15,Consumer,East,Landscaping,563.42,2015
03/07/15,Consumer,Mid-Town,Materials,61.90,2015
03/07/15,Contractor,East,Materials,2.77,2015
03/07/15,Consumer,Mid-Town,Materials,7.31,2015
03/07/15,Consumer,Mid-Town,Materials,11.77,2015
03/07/15,Consumer,Mid-Town,Materials,181.03,2015
03/07/15,Consumer,Mid-Town,Materials,60.65,2015
03/07/15,Consumer,East,Tools,395.12,2015
03/07/15,Contractor,East,Tools,99.45,2015
03/07/15,Contractor,East,Tools,33.62,2015
03/07/15,Consumer,Mid-Town,Tools,4.92,2015
03/08/15,Consumer,West,Appliances,1120.24,2015
03/08/15,Consumer,West,Tools,435.54,2015
03/09/15,Home Builder,East,Appliances,120.06,2015
03/09/15,Home Builder,East,Appliances,588.09,2015
03/09/15,Home Builder,East,Materials,30.68,2015
03/09/15,Home Builder,East,Materials,69.49,2015
03/10/15,Consumer,Mid-Town,Appliances,770.03,2015
03/10/15,Consumer,Mid-Town,Materials,15.03,2015
03/10/15,Consumer,Mid-Town,Electrical,513.01,2015
03/10/15,Consumer,Mid-Town,Tools,860.98,2015
03/11/15,Contractor,Mid-Town,Appliances,113.62,2015
03/11/15,Contractor,East,Materials,19.63,2015
03/11/15,Contractor,West,Materials,3.65,2015
03/11/15,Consumer,Mid-Town,Materials,8.78,2015
03/11/15,Consumer,Mid-Town,Tools,373.31,2015
03/12/15,Contractor,Mid-Town,Appliances,359.95,2015
03/12/15,Consumer,South,Materials,4.79,2015
03/13/15,Consumer,Mid-Town,Materials,1.34,2015
03/13/15,Contractor,East,Materials,92.51,2015
03/14/15,Contractor,South,Materials,8.86,2015
03/14/15,Consumer,South,Materials,5.28,2015
03/14/15,Contractor,South,Tools,32.12,2015
03/14/15,Contractor,South,Tools,6.86,2015
03/15/15,Consumer,West,Tools,142.17,2015
03/15/15,Home Builder,West,Tools,915.19,2015
03/15/15,Home Builder,West,Tools,327.99,2015
03/16/15,Consumer,East,Materials,16.54,2015
03/16/15,Consumer,East,Materials,685.38,2015
03/16/15,Consumer,West,Materials,19.83,2015
03/17/15,Contractor,West,Appliances,116.80,2015
03/18/15,Contractor,East,Appliances,85.95,2015
03/18/15,Consumer,South,Materials,2.85,2015
03/18/15,Consumer,South,Materials,8.92,2015
03/18/15,Consumer,South,Materials,47.21,2015
03/18/15,Consumer,South,Materials,6672.70,2015
03/18/15,Consumer,South,Materials,496.47,2015
03/18/15,Consumer,South,Materials,7.75,2015
03/18/15,Home Builder,East,Materials,17.54,2015
03/18/15,Consumer,West,Tools,171.98,2015
03/18/15,Contractor,West,Tools,43.15,2015
03/19/15,Contractor,East,Appliances,115.25,2015
03/19/15,Contractor,East,Materials,34.83,2015
03/20/15,Home Builder,Mid-Town,Appliances,453.82,2015
03/20/15,Contractor,Mid-Town,Appliances,3275.93,2015
03/20/15,Contractor,Mid-Town,Materials,1272.59,2015
03/21/15,Contractor,Mid-Town,Materials,224.38,2015
03/21/15,Consumer,Mid-Town,Materials,18.10,2015
03/21/15,Consumer,West,Materials,14.64,2015
03/21/15,Consumer,West,Materials,34.03,2015
03/21/15,Consumer,West,Materials,41.75,2015
03/21/15,Consumer,South,Materials,14.55,2015
03/21/15,Contractor,West,Materials,12.61,2015
03/21/15,Consumer,West,Materials,11.66,2015
03/21/15,Home Builder,West,Materials,65.84,2015
03/21/15,Home Builder,West,Tools,383.68,2015
03/22/15,Contractor,East,Appliances,200.19,2015
03/22/15,Contractor,West,Materials,51.96,2015
03/22/15,Consumer,West,Electrical,2.56,2015
03/22/15,Consumer,West,Materials,19.62,2015
03/22/15,Consumer,West,Materials,31.36,2015
03/22/15,Contractor,East,Materials,49.97,2015
03/22/15,Contractor,East,Materials,24.27,2015
03/22/15,Contractor,East,Materials,1088.20,2015
03/22/15,Contractor,East,Materials,84.25,2015
03/23/15,Consumer,South,Materials,962.16,2015
03/23/15,Consumer,South,Materials,12.89,2015
03/23/15,Consumer,South,Materials,295.69,2015
03/24/15,Consumer,Mid-Town,Appliances,118.46,2015
03/24/15,Consumer,West,Appliances,116.93,2015
03/24/15,Contractor,West,Appliances,1488.24,2015
03/24/15,Consumer,South,Appliances,452.42,2015
03/24/15,Consumer,Mid-Town,Materials,129.62,2015
03/24/15,Consumer,Mid-Town,Materials,14.19,2015
03/24/15,Contractor,West,Materials,105.64,2015
03/24/15,Contractor,South,Materials,19.76,2015
03/24/15,Consumer,South,Materials,157.93,2015
03/24/15,Contractor,West,Tools,92.24,2015
03/25/15,Contractor,West,Appliances,242.37,2015
03/25/15,Consumer,South,Materials,32.19,2015
03/25/15,Consumer,South,Materials,29.04,2015
03/25/15,Contractor,West,Materials,34.36,2015
03/25/15,Contractor,West,Materials,206.21,2015
03/25/15,Consumer,Mid-Town,Tools,107.87,2015
03/26/15,Contractor,South,Materials,7.27,2015
03/26/15,Home Builder,Mid-Town,Tools,362.65,2015
03/26/15,Contractor,West,Tools,47.11,2015
03/28/15,Consumer,East,Appliances,217.61,2015
03/28/15,Contractor,South,Materials,74.56,2015
03/28/15,Consumer,East,Materials,40.43,2015
03/28/15,Contractor,East,Materials,1085.49,2015
03/28/15,Contractor,East,Materials,13.16,2015
03/28/15,Contractor,West,Tools,3393.89,2015
03/29/15,Consumer,West,Materials,85.37,2015
03/30/15,Consumer,West,Landscaping,166.50,2015
03/30/15,Consumer,West,Materials,33.29,2015
03/30/15,Consumer,East,Materials,16.64,2015
03/30/15,Consumer,East,Materials,5.28,2015
03/30/15,Consumer,East,Materials,23.13,2015
03/31/15,Consumer,West,Appliances,253.30,2015
03/31/15,Consumer,West,Materials,73.40,2015
03/31/15,Consumer,West,Materials,212.74,2015
03/31/15,Consumer,West,Materials,9.94,2015
03/31/15,Consumer,South,Materials,5.61,2015
03/31/15,Consumer,East,Materials,17.87,2015
03/31/15,Home Builder,South,Tools,1190.26,2015
03/31/15,Consumer,West,Tools,20.00,2015
04/01/15,Contractor,Mid-Town,Appliances,184.58,2015
04/01/15,Contractor,Mid-Town,Electrical,23.54,2015
04/01/15,Home Builder,Mid-Town,Tools,392.42,2015
04/02/15,Contractor,South,Appliances,80.20,2015
04/02/15,Contractor,Mid-Town,Materials,98.50,2015
04/02/15,Contractor,Mid-Town,Tools,22.66,2015
04/04/15,Consumer,Mid-Town,Appliances,150.33,2015
04/04/15,Consumer,Mid-Town,Appliances,148.22,2015
04/04/15,Consumer,West,Appliances,172.00,2015
04/04/15,Consumer,West,Appliances,288.68,2015
04/04/15,Consumer,Mid-Town,Materials,33.80,2015
04/04/15,Contractor,Mid-Town,Materials,9.80,2015
04/06/15,Consumer,Mid-Town,Appliances,211.06,2015
04/06/15,Consumer,Mid-Town,Appliances,629.98,2015
04/06/15,Home Builder,East,Materials,11.40,2015
04/06/15,Home Builder,East,Materials,82.46,2015
04/06/15,Home Builder,East,Materials,9.37,2015
04/06/15,Consumer,Mid-Town,Materials,656.96,2015
04/06/15,Consumer,Mid-Town,Materials,6.07,2015
04/06/15,Consumer,Mid-Town,Materials,13.65,2015
04/06/15,Home Builder,East,Tools,108.61,2015
04/07/15,Home Builder,East,Appliances,115.00,2015
04/07/15,Home Builder,East,Appliances,144.09,2015
04/07/15,Consumer,West,Appliances,239.99,2015
04/07/15,Contractor,South,Materials,165.68,2015
04/07/15,Home Builder,East,Materials,102.04,2015
04/07/15,Home Builder,East,Materials,603.27,2015
04/07/15,Home Builder,East,Materials,10.85,2015
04/07/15,Consumer,East,Materials,24.23,2015
04/07/15,Consumer,West,Materials,24.07,2015
04/07/15,Home Builder,East,Tools,585.44,2015
04/07/15,Home Builder,East,Tools,7.79,2015
04/07/15,Home Builder,East,Tools,352.69,2015
04/07/15,Contractor,West,Tools,892.43,2015
04/08/15,Consumer,Mid-Town,Appliances,126.51,2015
04/08/15,Consumer,Mid-Town,Materials,42.89,2015
04/08/15,Consumer,Mid-Town,Materials,7.38,2015
04/08/15,Consumer,Mid-Town,Materials,9.74,2015
04/08/15,Consumer,Mid-Town,Materials,8.37,2015
04/08/15,Consumer,South,Materials,48.21,2015
04/09/15,Consumer,Mid-Town,Appliances,384.16,2015
04/09/15,Consumer,Mid-Town,Materials,486.41,2015
04/09/15,Home Builder,East,Materials,11.82,2015
04/09/15,Consumer,East,Materials,26.16,2015
04/09/15,Consumer,East,Materials,22.79,2015
04/11/15,Consumer,East,Materials,18.27,2015
04/11/15,Consumer,East,Materials,370.24,2015
04/11/15,Consumer,West,Tools,377.31,2015
04/12/15,Contractor,West,Materials,13.47,2015
04/12/15,Home Builder,East,Landscaping,142.25,2015
04/12/15,Home Builder,East,Electrical,14.79,2015
04/13/15,Consumer,East,Appliances,185.19,2015
04/13/15,Consumer,East,Appliances,122.07,2015
04/13/15,Consumer,West,Appliances,640.21,2015
04/13/15,Consumer,East,Landscaping,406.65,2015
04/13/15,Consumer,West,Materials,52.97,2015
04/13/15,Consumer,South,Tools,67.59,2015
04/13/15,Consumer,South,Tools,56.16,2015
04/14/15,Home Builder,West,Materials,40.98,2015
04/15/15,Consumer,West,Appliances,200.20,2015
04/15/15,Contractor,West,Appliances,266.33,2015
04/15/15,Consumer,West,Appliances,480.04,2015
04/15/15,Consumer,Mid-Town,Appliances,249.58,2015
04/15/15,Consumer,West,Materials,13.21,2015
04/15/15,Home Builder,West,Materials,31.34,2015
04/15/15,Home Builder,West,Materials,55.03,2015
04/15/15,Contractor,West,Materials,75.86,2015
04/15/15,Consumer,Mid-Town,Materials,17.66,2015
04/15/15,Consumer,West,Materials,10.85,2015
04/15/15,Consumer,West,Tools,711.04,2015
04/15/15,Contractor,West,Tools,37.91,2015
04/15/15,Consumer,West,Tools,241.78,2015
04/15/15,Consumer,Mid-Town,Tools,610.00,2015
04/15/15,Consumer,Mid-Town,Tools,215.60,2015
04/16/15,Consumer,West,Materials,35.31,2015
04/18/15,Contractor,East,Appliances,118.83,2015
04/18/15,Consumer,Mid-Town,Appliances,1440.21,2015
04/18/15,Consumer,Mid-Town,Appliances,143.77,2015
04/18/15,Consumer,South,Appliances,609.51,2015
04/18/15,Contractor,East,Materials,45.29,2015
04/18/15,Contractor,East,Materials,10.47,2015
04/18/15,Contractor,East,Materials,7.95,2015
04/18/15,Contractor,East,Materials,1.68,2015
04/18/15,Contractor,East,Materials,57.13,2015
04/18/15,Contractor,East,Materials,12.79,2015
04/18/15,Consumer,South,Materials,9.23,2015
04/18/15,Consumer,South,Tools,1256.70,2015
04/18/15,Consumer,South,Tools,523.47,2015
04/18/15,Contractor,East,Tools,127.88,2015
04/19/15,Consumer,West,Landscaping,323.63,2015
04/19/15,Consumer,West,Appliances,784.17,2015
04/19/15,Consumer,East,Appliances,101.59,2015
04/19/15,Consumer,West,Materials,5.84,2015
04/19/15,Consumer,West,Materials,1447.98,2015
04/19/15,Consumer,West,Materials,12.06,2015
04/19/15,Consumer,East,Materials,64.79,2015
04/19/15,Consumer,East,Materials,11.46,2015
04/20/15,Consumer,South,Appliances,106.62,2015
04/20/15,Contractor,Mid-Town,Appliances,141.63,2015
04/20/15,Contractor,Mid-Town,Electrical,244.89,2015
04/20/15,Contractor,Mid-Town,Appliances,198.30,2015
04/20/15,Consumer,Mid-Town,Materials,39.75,2015
04/20/15,Consumer,Mid-Town,Materials,80.44,2015
04/20/15,Consumer,East,Materials,22.26,2015
04/20/15,Home Builder,West,Materials,1013.47,2015
04/20/15,Home Builder,West,Materials,62.58,2015
04/20/15,Consumer,West,Landscaping,115.56,2015
04/20/15,Contractor,Mid-Town,Materials,74.63,2015
04/20/15,Contractor,Mid-Town,Materials,4.57,2015
04/20/15,Contractor,Mid-Town,Materials,7.97,2015
04/20/15,Contractor,Mid-Town,Materials,15.62,2015
04/20/15,Contractor,Mid-Town,Materials,1.53,2015
04/20/15,Consumer,Mid-Town,Tools,6.22,2015
04/20/15,Consumer,Mid-Town,Tools,94.49,2015
04/20/15,Contractor,Mid-Town,Tools,56.90,2015
04/21/15,Consumer,Mid-Town,Materials,20.94,2015
04/21/15,Consumer,Mid-Town,Materials,322.81,2015
04/22/15,Contractor,South,Appliances,288.21,2015
04/22/15,Contractor,South,Materials,13.08,2015
04/22/15,Consumer,Mid-Town,Materials,123.33,2015
04/22/15,Consumer,Mid-Town,Materials,188.20,2015
04/22/15,Contractor,South,Tools,595.59,2015
04/23/15,Consumer,South,Appliances,502.85,2015
04/23/15,Consumer,South,Materials,22.15,2015
04/23/15,Consumer,South,Tools,195.80,2015
04/23/15,Consumer,South,Tools,211.98,2015
04/24/15,Consumer,West,Appliances,188.80,2015
04/24/15,Consumer,West,Materials,65.42,2015
04/26/15,Home Builder,East,Materials,26.32,2015
04/27/15,Contractor,West,Materials,13.99,2015
04/27/15,Consumer,East,Materials,206.64,2015
04/27/15,Consumer,Mid-Town,Materials,57.98,2015
04/27/15,Consumer,Mid-Town,Materials,280.57,2015
04/27/15,Consumer,Mid-Town,Materials,221.23,2015
04/27/15,Contractor,West,Materials,21.77,2015
04/27/15,Consumer,Mid-Town,Tools,128.30,2015
04/28/15,Contractor,West,Appliances,315.10,2015
04/28/15,Consumer,South,Materials,72.88,2015
04/28/15,Contractor,West,Materials,63.69,2015
04/28/15,Contractor,West,Materials,52.87,2015
04/28/15,Consumer,South,Materials,2.67,2015
04/28/15,Consumer,South,Tools,832.15,2015
04/28/15,Consumer,South,Tools,97.37,2015
04/28/15,Consumer,Mid-Town,Tools,408.49,2015
04/28/15,Contractor,West,Tools,66.49,2015
04/28/15,Consumer,South,Tools,191.59,2015
04/29/15,Consumer,East,Appliances,1379.97,2015
04/29/15,Consumer,East,Materials,22.95,2015
04/29/15,Home Builder,West,Electrical,44.43,2015
04/29/15,Home Builder,West,Materials,6.07,2015
04/29/15,Consumer,East,Tools,1267.65,2015
04/30/15,Consumer,Mid-Town,Materials,8.72,2015
04/30/15,Consumer,Mid-Town,Materials,23.88,2015
04/30/15,Consumer,Mid-Town,Materials,12.26,2015
04/30/15,Home Builder,Mid-Town,Materials,186.94,2015
04/30/15,Home Builder,Mid-Town,Materials,3813.30,2015
05/01/15,Home Builder,East,Materials,8.29,2015
05/02/15,Consumer,East,Appliances,1023.09,2015
05/02/15,Contractor,West,Appliances,121.19,2015
05/02/15,Contractor,East,Appliances,209.55,2015
05/02/15,Contractor,West,Materials,36.04,2015
05/02/15,Contractor,East,Materials,6.53,2015
05/02/15,Home Builder,Mid-Town,Tools,213.33,2015
05/02/15,Contractor,East,Tools,31.50,2015
05/02/15,Contractor,East,Tools,9.55,2015
05/02/15,Contractor,East,Tools,24.38,2015
05/03/15,Contractor,West,Appliances,188.96,2015
05/03/15,Contractor,South,Materials,41.71,2015
05/03/15,Contractor,South,Materials,172.80,2015
05/03/15,Consumer,West,Materials,12.41,2015
05/03/15,Consumer,West,Materials,38.44,2015
05/03/15,Consumer,West,Materials,35.08,2015
05/03/15,Contractor,South,Tools,63.76,2015
05/04/15,Contractor,Mid-Town,Appliances,158.45,2015
05/04/15,Contractor,Mid-Town,Materials,8.96,2015
05/05/15,Consumer,East,Appliances,127.79,2015
05/05/15,Consumer,West,Appliances,363.76,2015
05/05/15,Consumer,East,Materials,64.10,2015
05/05/15,Consumer,East,Materials,23.93,2015
05/05/15,Consumer,East,Materials,8.37,2015
05/05/15,Consumer,East,Materials,18.41,2015
05/05/15,Consumer,East,Materials,76.87,2015
05/05/15,Consumer,West,Materials,9.00,2015
05/05/15,Consumer,West,Materials,65.00,2015
05/05/15,Consumer,West,Materials,50.06,2015
05/05/15,Home Builder,West,Materials,14.12,2015
05/05/15,Home Builder,West,Tools,665.96,2015
05/05/15,Consumer,East,Tools,844.33,2015
05/06/15,Contractor,Mid-Town,Appliances,946.46,2015
05/06/15,Contractor,Mid-Town,Materials,132.23,2015
05/06/15,Contractor,East,Tools,27.07,2015
05/06/15,Contractor,Mid-Town,Tools,22.53,2015
05/09/15,Consumer,Mid-Town,Materials,15.99,2015
05/09/15,Consumer,South,Materials,45.92,2015
05/09/15,Consumer,Mid-Town,Tools,244.09,2015
05/10/15,Consumer,Mid-Town,Appliances,378.21,2015
05/10/15,Consumer,East,Appliances,2800.15,2015
05/10/15,Consumer,West,Electrical,5.30,2015
05/10/15,Consumer,Mid-Town,Materials,44.19,2015
05/10/15,Home Builder,East,Materials,38.15,2015
05/10/15,Consumer,East,Materials,361.51,2015
05/10/15,Consumer,East,Materials,19.68,2015
05/10/15,Contractor,East,Tools,8.56,2015
05/10/15,Consumer,Mid-Town,Tools,124.17,2015
05/10/15,Consumer,East,Tools,85.00,2015
05/10/15,Consumer,East,Tools,134.15,2015
05/11/15,Consumer,South,Materials,49.02,2015
05/12/15,Consumer,West,Appliances,146.90,2015
05/12/15,Home Builder,Mid-Town,Materials,73.81,2015
05/12/15,Home Builder,Mid-Town,Materials,39.36,2015
05/13/15,Home Builder,West,Tools,192.18,2015
05/14/15,Consumer,West,Appliances,207.63,2015
05/14/15,Consumer,Mid-Town,Appliances,625.34,2015
05/14/15,Consumer,West,Materials,13.07,2015
05/14/15,Consumer,West,Materials,26.45,2015
05/14/15,Consumer,East,Materials,36.91,2015
05/14/15,Consumer,West,Materials,14.87,2015
05/14/15,Consumer,Mid-Town,Materials,134.30,2015
05/14/15,Consumer,Mid-Town,Tools,23.51,2015
05/15/15,Home Builder,Mid-Town,Appliances,226.83,2015
05/15/15,Home Builder,Mid-Town,Materials,16.64,2015
05/16/15,Home Builder,East,Materials,198.60,2015
05/16/15,Home Builder,East,Materials,47.46,2015
05/16/15,Home Builder,East,Materials,201.05,2015
05/16/15,Home Builder,East,Materials,97.75,2015
05/16/15,Home Builder,East,Materials,2.78,2015
05/16/15,Home Builder,East,Materials,18.64,2015
05/16/15,Home Builder,East,Materials,5.13,2015
05/16/15,Consumer,West,Materials,1118.04,2015
05/16/15,Contractor,West,Tools,515.06,2015
05/16/15,Contractor,West,Tools,129.06,2015
05/16/15,Contractor,West,Tools,97.78,2015
05/16/15,Contractor,West,Tools,722.40,2015
05/17/15,Contractor,South,Materials,18.66,2015
05/17/15,Contractor,East,Materials,52.02,2015
05/18/15,Home Builder,South,Appliances,266.21,2015
05/19/15,Contractor,Mid-Town,Materials,33.49,2015
05/19/15,Contractor,Mid-Town,Materials,14.33,2015
05/19/15,Consumer,East,Materials,31.83,2015
05/19/15,Consumer,East,Materials,55.70,2015
05/20/15,Contractor,West,Materials,11.29,2015
05/22/15,Consumer,South,Materials,6.86,2015
05/22/15,Consumer,South,Tools,169.66,2015
05/23/15,Consumer,Mid-Town,Materials,21.05,2015
05/23/15,Contractor,West,Materials,27.05,2015
05/23/15,Contractor,East,Materials,25.08,2015
05/24/15,Consumer,West,Appliances,2973.39,2015
05/24/15,Consumer,West,Electrical,775.81,2015
05/24/15,Consumer,West,Materials,8.36,2015
05/24/15,Consumer,West,Materials,104.84,2015
05/25/15,Contractor,South,Electrical,186.71,2015
05/25/15,Consumer,West,Materials,19.21,2015
05/25/15,Consumer,West,Materials,124.23,2015
05/25/15,Contractor,East,Materials,51.50,2015
05/25/15,Home Builder,Mid-Town,Materials,850.58,2015
05/25/15,Home Builder,Mid-Town,Tools,75.38,2015
05/26/15,Consumer,Mid-Town,Materials,7.96,2015
05/26/15,Consumer,Mid-Town,Tools,614.70,2015
